,0
SIAH2,8
SPARC,8
CA4,8
UQCR10,8
CDC20,7
KIFAP3,7
DIRC2,7
BRD3,7
NREP,7
EIF2D,7
BRWD1,7
EIF4EBP1,7
SMYD1,7
AR,7
VLDLR,7
RTN4IP1,7
ABCB8,6
GSK3B,6
ALAD,6
USF2,6
COL5A3,6
DNMT3A,6
ATP5C1,6
PAPOLA,6
MAPK8,6
B3GALNT2,6
RAD23A,6
MRPL38,6
GOT2,6
MRPS25,6
COL4A1,6
CRAT,6
MRPS15,6
COL3A1,6
UBE2A,6
RFWD2,6
KLHDC3,6
KITLG,6
NAV2,6
CNNM4,6
RALBP1,5
SORD,5
YPEL3,5
CIAPIN1,5
PAM16,5
LENG8,5
MAU2,5
STEAP3,5
MAPKAP1,5
PMM1,5
MRPL3,5
XIAP,5
MSRA,5
SDHD,5
ASPM,5
PFKM,5
DMPK,5
SF3B5,5
NMNAT1,5
APLNR,5
NDUFA9,5
COX4I1,5
PHF20L1,5
GRB2,5
BCL2L1,5
APOO,5
TMEM180,5
DLAT,5
SRPRB,5
CLTB,5
TIMM21,5
BCKDK,5
PELP1,5
ERCC1,5
RALY,5
MECR,5
DISP1,5
NNT,5
ATP5F1,5
DOT1L,5
SSH2,5
ADCY6,5
COL5A1,5
GATAD2B,5
PURB,5
SDHC,5
LDHD,5
CARS,5
PTPN4,5
VEGFB,5
TTC13,5
GFOD1,5
SLC16A10,5
CYC1,5
C21orf33,5
SKP2,5
CCND2,5
SIVA1,5
MRPL33,5
SYNJ2BP,5
ADAMTS12,5
CS,5
JARID2,5
MFAP2,5
AIMP2,5
TTL,5
UQCR11,5
NTPCR,5
TMEM147,5
NDUFC1,5
IDH3B,5
KMT2D,5
MRPS18A,5
HCCS,5
RHEBL1,5
PPP1R11,5
BIRC6,5
TXN2,5
FAM98A,5
NDUFV3,5
VEZT,5
CDH5,5
MRPL43,5
C20orf196,5
NPEPPS,4
MRPL12,4
UBE4A,4
MAP3K12,4
MAP7D1,4
ATP5D,4
MLF2,4
TOP3B,4
FURIN,4
UQCRC1,4
PPP1R16A,4
POLR2F,4
ANK2,4
DNPEP,4
RUFY3,4
LANCL1,4
VEGFA,4
GYS1,4
PPM1L,4
HS6ST2,4
SPAG5,4
HIP1R,4
NUDT3,4
MYH14,4
MDH2,4
JOSD2,4
TRIM16,4
TMEM161B-AS1,4
KIF23,4
SAT2,4
KNSTRN,4
IFNAR1,4
DNAJB9,4
GPX7,4
CCDC25,4
HUWE1,4
EBF3,4
ATP5G3,4
AP1S1,4
WFDC1,4
MED19,4
ING4,4
CDH13,4
TNFAIP8L1,4
KDM6B,4
MLF1,4
UBE2T,4
C6orf136,4
SIRT3,4
KANSL3,4
RBM24,4
GTF2H4,4
CYP2E1,4
PRKAA2,4
EGLN1,4
SMTN,4
GBF1,4
MRPL44,4
TMEM38A,4
TTLL3,4
DUSP9,4
HPS4,4
HR,4
THAP4,4
IDH3G,4
ARG2,4
MAP1LC3A,4
FAM65B,4
CENPT,4
DUSP10,4
AUTS2,4
C6orf89,4
CCDC86,4
PDE4B,4
ACVR1,4
ATP6V0A1,4
NRIP1,4
CCDC12,4
LRRC28,4
NSMCE1,4
LIPG,4
PIN1,4
MRPS36,4
ATP1A2,4
NAPG,4
CLCF1,4
UBXN4,4
ADAM19,4
DNAJB14,4
HDLBP,4
PEG3,4
FITM1,4
MAST2,4
MACROD1,4
DGKD,4
URM1,4
LETMD1,4
TSPAN32,4
UBE2R2,4
TXNRD1,4
RBM42,4
MARK1,4
ZNRF3,4
SUCLG1,4
NDUFB5,4
C1QBP,4
NDUFB8,4
TTC28,4
WDSUB1,4
TRIP10,4
TOP2A,4
FOSL2,4
OPA3,4
GHITM,4
PPA2,4
SDHAF2,4
SOX11,4
OXA1L,4
FBN1,4
LYRM2,4
AIFM1,4
ZER1,4
DLST,4
KIF22,4
MSS51,4
MAGIX,4
REEP5,4
UCP3,4
NDUFAF4,4
ZNF282,4
PTRHD1,4
CDC25A,4
CDCA5,4
STK40,4
LIG3,4
ZBTB18,4
CENPN,4
KDM5B,4
CISH,4
FKBP1B,4
APEH,4
ENTPD2,4
MYEOV2,4
NDUFS2,4
NSF,4
IMMT,4
EVL,4
HAX1,4
TYK2,4
PDK2,4
DALRD3,4
B4GALT6,4
ZNF704,4
PNPLA2,4
CSNK2A2,4
GPI,4
NKD1,4
ABCC5,4
FITM2,4
MAP2K7,4
SLC25A44,4
MBD5,4
ASUN,4
COQ9,4
LMNA,4
FAM135A,4
EIF3J,4
H2AFZ,4
ADSL,4
LOC102724023,4
AGER,4
FIBP,4
TSPAN18,4
AMMECR1L,4
GPAM,4
SARS,4
ORAI1,4
HSBP1,4
TTLL11,4
CISD1,4
UBE2B,4
DZIP3,4
NFIL3,4
PITPNA,4
FBRS,4
PLK1,4
CCDC77,4
SLC22A3,4
ZRANB1,4
PIGC,4
UQCRFS1,4
CITED2,4
CDKN1B,4
SNRNP48,4
PITPNM2,4
ENY2,4
CCNY,4
POFUT2,4
NID1,4
RRM2,4
RET,4
PARP1,4
RBMS1,4
SLC2A4,4
IDH3A,4
RAB5B,4
PSMC4,4
SRP14,4
RGS4,4
GPT,4
POLR2I,4
TM6SF1,4
RRP1B,4
ZNF827,4
RHBG,4
NEK2,4
NCAPD3,4
ARHGAP20,4
TP53INP2,4
ATP5S,4
CHCHD5,4
NABP2,4
AP4S1,4
PFDN4,4
MGAT4B,4
RNF144A,4
CSNK1A1,3
RASSF1,3
SLC41A3,3
RBMX,3
MFSD11,3
ARMC6,3
RALA,3
AQP8,3
WRAP73,3
SMIM12,3
CAMK2D,3
HEATR5B,3
PBK,3
AMZ2,3
SPATS2L,3
ADAMTSL4,3
ZBTB20,3
