,0
IDH3A,5
KIF22,4
GID4,4
DLAT,4
ZBTB20,4
CS,4
SUCLA2,4
EIF4E3,4
ISCA1,4
CLMN,4
NREP,4
AHR,4
SLC38A3,3
SUGP2,3
NKIRAS2,3
ZNRF1,3
RASSF3,3
GNPAT,3
TXN2,3
PPIC,3
MTCH2,3
AP4S1,3
TFRC,3
ARPP19,3
FBN1,3
RNF166,3
NSDHL,3
RNF10,3
MRPL30,3
HNRNPUL1,3
PRKAA2,3
CENPP,3
PDK2,3
GLUL,3
CISH,3
CLN6,3
CDC20,3
UBE2F,3
SLC25A15,3
RGS4,3
ACAT2,3
EMC8,3
TMPRSS2,3
ELOVL6,3
KMT2D,3
CADM2,3
ACY1,3
PREX1,3
TPGS2,3
PFKL,3
PBK,3
MRPS15,3
VLDLR,3
DMRT2,3
SLC16A10,3
CMC2,3
SLC22A3,3
UCHL5,3
PDE4B,3
AGT,3
PDHB,3
RALBP1,3
LZTFL1,3
EPHX2,3
ACSS2,3
NRIP1,3
GOT2,3
SYNE1,3
AGPAT3,3
SYNGR1,3
NLK,3
SRSF11,3
S1PR3,3
ARFGEF1,2
PIAS4,2
NDUFB11,2
AGPAT1,2
NDUFB9,2
TIMM8A,2
KLF9,2
CRAT,2
C16orf72,2
CHPT1,2
NDUFV3,2
RALGPS2,2
ERAL1,2
PIRT,2
PLAUR,2
MLF2,2
SNRNP48,2
CISD1,2
ATP1A2,2
ATP5F1,2
CAT,2
RAD51,2
FHIT,2
PHGDH,2
PHLDA1,2
CLASP1,2
ALAS1,2
COMT,2
TMEM216,2
CTSC,2
MFAP3,2
NAA16,2
RHOJ,2
RAD54L,2
MCL1,2
NFAT5,2
GATAD2B,2
MAPT,2
SGOL1,2
RAD1,2
EN1,2
MMACHC,2
DUS1L,2
ZER1,2
CCDC6,2
RALGAPA1,2
PRDX5,2
SCARB1,2
NAMPT,2
MTFR1L,2
ASPH,2
C19orf70,2
MPC1,2
TMPO,2
RRP1B,2
PLGRKT,2
PCGF5,2
PRADC1,2
PARM1,2
ARNTL,2
PCK1,2
PRC1,2
POLR1A,2
PPARG,2
CHCHD10,2
SLC27A1,2
PSRC1,2
SMYD2,2
PKIG,2
CDC5L,2
LYRM5,2
ADAM19,2
SLC38A1,2
KIAA1161,2
C1orf123,2
TOP2A,2
LOC101930655///C7orf73,2
ATRX,2
BICD2,2
SC5D,2
CYCS,2
RORA,2
TMEM203,2
SPTB,2
AKIRIN1,2
CENPA,2
SLC2A4,2
HCFC1R1,2
TYSND1,2
PRKAB2,2
MFN1,2
MAP1LC3B,2
CPD,2
ATF7,2
CTU2,2
