"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"243318_at"	6.90613528148196e-12	1.26312488001499e-16	44.222705027008	25.0876382429273	5.93473825	"DCAF8"	"DDB1 and CUL4 associated factor 8"
"202855_s_at"	1.75007137531924e-11	6.40172428100318e-16	-39.4151718304882	24.1881100375959	-5.7255844	"MIR6787///SLC16A3"	"microRNA 6787///solute carrier family 16 member 3"
"243016_at"	2.13759910183026e-11	1.17289388303444e-15	37.7565671818951	23.8273159271238	6.1057148	""	""
"243521_at"	5.54083058110267e-11	4.05364834465673e-15	34.5703333605094	23.0463606935423	4.112648175	"ZXDA"	"zinc finger, X-linked, duplicated A"
"243690_at"	7.46379444741067e-11	8.04824409834962e-15	32.9228490041461	22.5907545646523	4.26546055	"TRIOBP"	"TRIO and F-actin binding protein"
"AFFX-HUMISGF3A/M97935_5_at"	1.15805192526973e-10	1.86169947192306e-14	-31.0122064368119	22.0114043427506	-4.8706595	"STAT1"	"signal transducer and activator of transcription 1"
"243443_at"	1.15805192526973e-10	1.90625831320121e-14	-30.9599151380683	21.9947166808137	-4.540573225	"PPME1"	"protein phosphatase methylesterase 1"
"32099_at"	2.11716055304536e-10	5.42117014039965e-14	28.7328228403286	21.2388270621917	4.27676105	"SAFB2"	"scaffold attachment factor B2"
"202882_x_at"	2.93927398910434e-10	9.10330441165488e-14	27.6867392179698	20.8509111944471	5.144620325	"NOL7"	"nucleolar protein 7"
"243589_at"	7.34052333288042e-10	2.77636208517868e-13	25.5593711655389	19.9885113032536	5.050946825	"KANSL1"	"KAT8 regulatory NSL complex subunit 1"
"202805_s_at"	7.34052333288042e-10	2.81940539534502e-13	-25.5311503788496	19.9763560727349	-4.263986	"ABCC1"	"ATP binding cassette subfamily C member 1"
"243423_at"	9.92478029959298e-10	4.17503332218817e-13	24.8210185139932	19.6638815856993	4.026112075	"TNIP1"	"TNFAIP3 interacting protein 1"
"243020_at"	1.46180778456281e-09	6.4167145550082e-13	24.0653172853353	19.316862440368	3.86331315	"FAM13A-AS1"	"FAM13A antisense RNA 1"
"243801_x_at"	1.78324516815319e-09	8.15384164679098e-13	23.6536476921241	19.1212300150851	4.022250625	"MRPL30"	"mitochondrial ribosomal protein L30"
"243580_at"	1.98253427615158e-09	1.00806422717261e-12	-23.294766769124	18.9467385353122	-3.594678325	"GNA14"	"G protein subunit alpha 14"
"243_g_at"	2.3467256464557e-09	1.28764095827474e-12	22.8870871988796	18.7439236242821	3.369829925	"MAP4"	"microtubule associated protein 4"
"243904_at"	2.49525116088596e-09	1.41477432075838e-12	22.7320814259421	18.6654960626869	4.665860775	"STXBP5"	"syntaxin binding protein 5"
"243629_x_at"	3.24017700711497e-09	1.95566239112563e-12	22.2066702869233	18.3941112415663	3.03526285	"MFI2-AS1"	"MFI2 antisense RNA 1"
"243204_at"	4.3999562932561e-09	2.81793906543926e-12	-21.627699294613	18.0848029098359	-2.56936635	"LOC102725022"	"uncharacterized LOC102725022"
"202865_at"	4.3999562932561e-09	2.89709056346081e-12	-21.5843797062921	18.0612138337362	-3.540266025	"DNAJB12"	"DnaJ heat shock protein family (Hsp40) member B12"
"2028_s_at"	5.79739856210249e-09	4.02928478024499e-12	-21.0747588951817	17.7788970770255	-3.378220975	"E2F1"	"E2F transcription factor 1"
"243562_at"	6.06019868646116e-09	4.32277546908066e-12	-20.9676181984838	17.7183952133386	-5.060267725	"KNG1"	"kininogen 1"
"243824_at"	6.10261478885912e-09	4.46464730780731e-12	20.9185809220459	17.6905684800916	4.396066725	"LINC01410"	"long intergenic non-protein coding RNA 1410"
"243971_x_at"	6.46258053799148e-09	4.90538503794961e-12	20.7762363285207	17.6093070934199	2.201642225	"LINC00202-2"	"long intergenic non-protein coding RNA 202-2"
"243976_at"	6.98545316118173e-09	5.49381775822248e-12	20.6061497035024	17.5112499026484	3.5890865	"RNF115"	"ring finger protein 115"
"243981_at"	8.7987019002082e-09	7.08080262659645e-12	20.2298960557137	17.2905541343903	3.895085925	"STK4"	"serine/threonine kinase 4"
"202813_at"	9.32852033751255e-09	7.67779451647124e-12	20.1112410399332	17.2198551458766	4.205597275	"TARBP1"	"TAR (HIV-1) RNA binding protein 1"
"202836_s_at"	1.10464979784486e-08	9.29380716979668e-12	19.8338139063646	17.0524485903669	3.302396575	"TXNL4A"	"thioredoxin like 4A"
"243711_at"	1.12421771662334e-08	9.66405718908041e-12	-19.7775190146067	17.0181141619141	-2.813096275	"DDAH1"	"dimethylarginine dimethylaminohydrolase 1"
"243139_at"	1.13756952164706e-08	9.98689291980958e-12	-19.7302819065956	16.9892081257177	-2.395634025	"SV2C"	"synaptic vesicle glycoprotein 2C"
"202829_s_at"	1.47566939628928e-08	1.43717952848586e-11	19.2140237208034	16.6674782767627	2.888525875	"VAMP7"	"vesicle associated membrane protein 7"
"243494_at"	1.80481462188377e-08	1.81554282951271e-11	-18.8892201381608	16.4594585310923	-2.2800471	"TBX18-AS1"	"TBX18 antisense RNA 1"
"243945_at"	2.3408041424151e-08	2.44034451061108e-11	-18.4854785620259	16.194622826458	-2.704557325	"TRIM2"	"tripartite motif containing 2"
"243712_at"	2.95530763199406e-08	3.30204867824877e-11	18.0809275187592	15.9220553050671	2.750542875	"XIST"	"X inactive specific transcript (non-protein coding)"
"243836_at"	2.95530763199406e-08	3.35124047889587e-11	-18.0613562388885	15.9086816647517	-3.017194225	"UNC80"	"unc-80 homolog, NALCN activator"
"202837_at"	3.38681749530236e-08	3.90250575590395e-11	-17.8609346153935	15.7707127848006	-2.785606575	"TRAFD1"	"TRAF-type zinc finger domain containing 1"
"243937_x_at"	4.36485724355075e-08	5.43347152805656e-11	17.4324014227218	15.4693839980595	2.994647525	"AGAP6"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6"
"243951_at"	4.36485724355075e-08	5.50846181627804e-11	17.4148582772066	15.4568608036368	2.436436675	"ABCB1"	"ATP binding cassette subfamily B member 1"
"336_at"	7.00650506246642e-08	9.48296981476936e-11	16.7324819385292	14.9578876664101	2.43967815	"TBXA2R"	"thromboxane A2 receptor"
"243777_at"	7.43028004802447e-08	1.03987594542809e-10	16.6191247159001	14.8726993201327	2.766822	"RAB29"	"RAB29, member RAS oncogene family"
"243495_s_at"	7.59292387349555e-08	1.09414490293502e-10	16.5568711113379	14.8256292354634	4.862139175	"ZNF652"	"zinc finger protein 652"
"202833_s_at"	7.8779558160859e-08	1.15269586700845e-10	-16.4932970333421	14.7773496337185	-5.1198082	"SERPINA1"	"serpin family A member 1"
"202899_s_at"	8.35639621363254e-08	1.23798462424186e-10	16.4066049999703	14.7111675716196	3.72583815	"SRSF3"	"serine and arginine rich splicing factor 3"
"243201_at"	9.40123944923563e-08	1.42716575086705e-10	16.2351264049563	14.5790693264241	3.317690575	"RPL36A"	"ribosomal protein L36a"
"243029_at"	1.00291333632886e-07	1.54082707364654e-10	16.1433973187416	14.5077501996411	2.043220125	"KREMEN1"	"kringle containing transmembrane protein 1"
"243258_at"	1.06839282159775e-07	1.68050814188215e-10	16.0400858338689	14.42687186944	2.894816075	"CLUH"	"clustered mitochondria homolog"
"243122_at"	1.37205442732655e-07	2.27265067184661e-10	-15.6853435281948	14.1446097738442	-2.733222075	"PACRG-AS3"	"PACRG antisense RNA 3"
"243724_at"	1.37205442732655e-07	2.2965152171295e-10	15.6731944282006	14.1348162082529	2.9659603	"SLC33A1"	"solute carrier family 33 member 1"
"243176_at"	1.40161513995278e-07	2.38901757657321e-10	15.6273430581829	14.0977780900035	3.4917308	"LOC101929356///ARL5A"	"uncharacterized LOC101929356///ADP ribosylation factor like GTPase 5A"
"243796_at"	1.47630359830699e-07	2.56513656770305e-10	15.5450575707728	14.0310035974145	2.71060765	"HEXIM2"	"hexamethylene bisacetamide inducible 2"
"243972_at"	1.70244724907295e-07	2.98920778986745e-10	-15.3693784977502	13.8871143380194	-2.15764245	"BTF3L4"	"basic transcription factor 3 like 4"
"243534_at"	1.73301282936149e-07	3.07457237216396e-10	15.3372408022104	13.8605947383424	2.4105376	"CC2D2B"	"coiled-coil and C2 domain containing 2B"
"243656_at"	1.84042273516412e-07	3.29879155091146e-10	15.257162623295	13.794247171545	2.823657025	"LOC642852"	"uncharacterized LOC642852"
"243324_x_at"	1.91287420971174e-07	3.49862681245859e-10	-15.1905400250084	13.7387546337483	-2.131959275	"TNPO1"	"transportin 1"
"243738_at"	2.06210364250792e-07	3.80928153439964e-10	15.0946347535741	13.6583996414052	2.3323492	"NMNAT3"	"nicotinamide nucleotide adenylyltransferase 3"
"243282_at"	2.19049251840079e-07	4.20670716839657e-10	14.9834365344336	13.5645277505458	2.393747125	"CCDC93"	"coiled-coil domain containing 93"
"243761_at"	2.24486906694482e-07	4.35219242974214e-10	-14.9455078048403	13.5323346210711	-2.25872305	"LOC102723899///CLDN12"	"pituitary tumor-transforming gene 1 protein-interacting protein///claudin 12"
"243428_at"	2.4686129186621e-07	4.85053018775181e-10	14.8251396439857	13.4295761188979	2.538234825	"LOC101927338///KCNQ1OT1"	"uncharacterized LOC101927338///KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)"
"243851_at"	2.4686129186621e-07	4.91625320748703e-10	14.8102563272359	13.416807239526	2.387429125	"RAB3GAP2///AURKAPS1"	"RAB3 GTPase activating non-catalytic protein subunit 2///aurora kinase A pseudogene 1"
"AFFX-HUMGAPDH/M33197_3_at"	2.7015094196491e-07	5.43513554936261e-10	-14.6997140191556	13.3215320278065	-2.05883775	"GAPDH"	"glyceraldehyde-3-phosphate dehydrogenase"
"243648_at"	3.49916655441257e-07	7.16793148777701e-10	14.3986058247684	13.0580415631028	3.546590425	"ZBED6"	"zinc finger BED-type containing 6"
"243818_at"	3.66760644599489e-07	7.58005538907038e-10	-14.3384425782527	13.0046871475228	-3.175777675	"SFTA1P"	"surfactant associated 1, pseudogene"
"243511_at"	3.70703554258804e-07	7.7307014203095e-10	14.3173165960969	12.9858954039061	2.7785747	"HEXA"	"hexosaminidase subunit alpha"
"243619_at"	3.74982530300867e-07	7.95573361040704e-10	-14.2865626777142	12.9584866945341	-4.2915066	"FGFR1OP2"	"FGFR1 oncogene partner 2"
"202890_at"	3.77104880095234e-07	8.27665031759086e-10	14.2442722996354	12.9206937560875	3.846658675	"MAP7"	"microtubule associated protein 7"
"320_at"	3.78357709630193e-07	8.37334848930103e-10	-14.2318714138265	12.9095890622432	-3.40220155	"PEX6"	"peroxisomal biogenesis factor 6"
"202808_at"	4.18452948350346e-07	9.33722170987512e-10	14.116009837255	12.8053396246925	3.045502525	"WBP1L"	"WW domain binding protein 1-like"
"243364_at"	4.40095330964879e-07	1.00616216498601e-09	14.0370319737272	12.7337575988986	2.5195878	"AUTS2"	"autism susceptibility candidate 2"
"243351_at"	4.68786070036721e-07	1.08033003794471e-09	-13.9622144647715	12.6655540291912	-3.17943115	"FZD10-AS1"	"FZD10 antisense RNA 1 (head to head)"
"202857_at"	4.8670022589154e-07	1.13941708119098e-09	13.9064265487664	12.6144475502194	3.900277925	"CNPY2"	"canopy FGF signaling regulator 2"
"202895_s_at"	4.89494216061638e-07	1.15491090758027e-09	-13.8923074297515	12.6014791583303	-2.417679475	"SIRPA"	"signal regulatory protein alpha"
"243301_at"	6.13189120579261e-07	1.46918655319402e-09	-13.642786840581	12.3699975901827	-1.6848455	"COL22A1"	"collagen type XXII alpha 1 chain"
"243910_x_at"	6.15984688942012e-07	1.48715096370088e-09	13.6302913707912	12.3582900103474	2.660593625	"CAND1"	"cullin associated and neddylation dissociated 1"
"243901_at"	6.38180525977868e-07	1.5524098757212e-09	-13.5862153945546	12.3169042971463	-2.443047475	"ALDOB"	"aldolase, fructose-bisphosphate B"
"243689_s_at"	7.16608539803529e-07	1.76940380198402e-09	-13.4526993995999	12.190686457748	-1.737470275	"FRG1BP"	"FSHD region gene 1 family member B, pseudogene"
"243264_s_at"	7.62795730459764e-07	1.89739770173805e-09	13.3818925347067	12.123225925161	1.61517475	"C8orf44-SGK3///C8orf44///SGK3"	"C8orf44-SGK3 readthrough///chromosome 8 open reading frame 44///serum/glucocorticoid regulated kinase family member 3"
"243234_at"	7.86096410306168e-07	1.99160108982344e-09	-13.332955738648	12.0763876681853	-5.230167625	"TBX3"	"T-box 3"
"243384_at"	8.61103907532425e-07	2.23642898709839e-09	-13.2164878747477	11.9642039730215	-2.09592015	"LINC00280"	"long intergenic non-protein coding RNA 280"
"243437_at"	9.06032255107895e-07	2.36968655656935e-09	13.1586758707782	11.9081440256376	1.828994325	"GCC1"	"GRIP and coiled-coil domain containing 1"
"243857_at"	9.58317441825561e-07	2.5239636327916e-09	13.0959214322244	11.8470077625831	3.937491625	"MORF4L2"	"mortality factor 4 like 2"
"243295_at"	1.00577783749214e-06	2.69952561954303e-09	13.0292980249537	11.7817769171027	3.6385164	"RBM27"	"RNA binding motif protein 27"
"243142_at"	1.00577783749214e-06	2.70414891836022e-09	-13.0276064796574	11.7801163454033	-1.826953875	"FGD6"	"FYVE, RhoGEF and PH domain containing 6"
"202824_s_at"	1.02475833804539e-06	2.79266561259739e-09	12.9958015556757	11.7488532394367	3.473847025	"TCEB1"	"transcription elongation factor B subunit 1"
"243957_at"	1.07298010359408e-06	2.96332868116518e-09	12.9374033020711	11.6912486287478	2.36454735	"LOC100128108"	"putative ubiquitin-conjugating enzyme E2Q2-like protein"
"243610_at"	1.10859203697725e-06	3.08195682890794e-09	-12.8988828046282	11.6531083552907	-1.954747775	"C9orf135"	"chromosome 9 open reading frame 135"
"243256_at"	1.11464165182183e-06	3.11916182402818e-09	12.887126247582	11.6414450687866	2.59913605	"MKNK1"	"MAP kinase interacting serine/threonine kinase 1"
"202880_s_at"	1.33590832705763e-06	3.8360787809428e-09	12.6858597572521	11.4401079926895	2.7114302	"CYTH1"	"cytohesin 1"
"243153_at"	1.38609275734195e-06	4.00553554019257e-09	12.6441464013195	11.3979821364989	2.127434725	"CDK5RAP2"	"CDK5 regulatory subunit associated protein 2"
"32094_at"	1.84715251968227e-06	5.4054760521109e-09	-12.3580818106097	11.1053351985396	-3.2843628	"CHST3"	"carbohydrate sulfotransferase 3"
"243985_at"	1.84819959615316e-06	5.44234357532068e-09	12.3516584020367	11.0986878425367	3.31881605	"GTF2A2"	"general transcription factor IIA subunit 2"
"32091_at"	2.11131419289522e-06	6.29436147127427e-09	12.2148835121131	10.9563378513085	4.7298201	"SLC25A44"	"solute carrier family 25 member 44"
"243080_at"	2.14942578298216e-06	6.48660730118072e-09	-12.1867505167827	10.9268658515755	-1.725841075	"HECW2"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
"243475_at"	2.27357420388311e-06	7.04271008211723e-09	12.1101114998456	10.8462433746696	1.9609981	"CBL"	"Cbl proto-oncogene"
"243093_at"	2.27357420388311e-06	7.11076705741218e-09	-12.101177218211	10.8368126088381	-3.583186975	"C2orf49"	"chromosome 2 open reading frame 49"
"243056_at"	2.57042938768104e-06	8.13322878955318e-09	-11.9769412372014	10.7049724621222	-1.53028055	"C12orf60"	"chromosome 12 open reading frame 60"
"32088_at"	2.68619061836568e-06	8.54864504061506e-09	-11.931146452514	10.6560428966889	-4.457871725	"BLZF1"	"basic leucine zipper nuclear factor 1"
"202891_at"	2.75814010285638e-06	8.82806617283706e-09	-11.9016561514322	10.6244385864717	-2.465454325	"NIT1"	"nitrilase 1"
"202832_at"	2.77042364967999e-06	8.94031778193517e-09	11.8900875933086	10.6120202788139	3.0448578	"GCC2"	"GRIP and coiled-coil domain containing 2"
"243132_at"	2.77042364967999e-06	8.96872402365539e-09	-11.8871845638713	10.6089021996056	-1.9630486	"APTX"	"aprataxin"
"202842_s_at"	2.80057190619017e-06	9.11754548334432e-09	11.872133613094	10.5927246377298	1.9032177	"DNAJB9"	"DnaJ heat shock protein family (Hsp40) member B9"
"243651_at"	3.5459956487669e-06	1.16740597490268e-08	11.6479745856644	10.3494494694721	2.708457475	"CPEB3"	"cytoplasmic polyadenylation element binding protein 3"
"243875_at"	3.69152797827419e-06	1.22882138462899e-08	-11.6019161838014	10.2989149198498	-3.453016675	"CCDC158"	"coiled-coil domain containing 158"
"243520_x_at"	3.86227638196391e-06	1.29272350781782e-08	-11.5565220693302	10.2489241369024	-3.126024675	"ADAM30"	"ADAM metallopeptidase domain 30"
"243764_at"	3.94925937288025e-06	1.34350661793457e-08	-11.5221173661559	10.2109125871215	-2.4066627	"VSIG1"	"V-set and immunoglobulin domain containing 1"
"243692_at"	4.10455620890084e-06	1.41025690633503e-08	-11.4789414748079	10.1630595732876	-3.95475255	"GATA4"	"GATA binding protein 4"
"243984_at"	4.12217790693473e-06	1.42540642239444e-08	-11.4694449808919	10.1525117665416	-1.719505275	"SCRG1"	"stimulator of chondrogenesis 1"
"243311_at"	4.12217790693473e-06	1.4324898076225e-08	-11.4650415100042	10.1476180382638	-4.38843855	"DEFB132"	"defensin beta 132"
"243017_at"	4.19685539888129e-06	1.4737928424055e-08	-11.4398175054753	10.1195518718266	-3.72708185	"USP27X-AS1"	"USP27X antisense RNA 1 (head to head)"
"243376_at"	4.65949658987293e-06	1.67034537103813e-08	11.3292635723547	9.9958572436587	1.92658175	"TANK"	"TRAF family member associated NFKB activator"
"243439_at"	4.71697323068935e-06	1.69957700310161e-08	11.3140119405987	9.97870485864562	2.09115625	"ZNF418"	"zinc finger protein 418"
"243899_at"	4.84107729522778e-06	1.75314733325121e-08	11.2867720143239	9.94801678531331	3.34025375	"ARL17B///ARL17A"	"ADP ribosylation factor like GTPase 17B///ADP ribosylation factor like GTPase 17A"
"243366_s_at"	5.39386651632923e-06	1.99279567681482e-08	11.174870563955	9.82122866799792	4.91582095	"ITGA4"	"integrin subunit alpha 4"
"243892_at"	5.41300945178458e-06	2.00976848415596e-08	-11.1674953318173	9.81283127959031	-1.826777925	"LOC102724809"	"uncharacterized LOC102724809"
