"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"9606"	"Gene.title"	"Gene.symbol"
"1387223_at"	0.18125214226886	0.000157362225192425	-5.51496927609774	0.864559149468452	-0.515959305316574	"AADAT"	"aminoadipate aminotransferase"	"Aadat"
"1378140_at"	0.194284348921985	0.000213825184400279	-5.31881995688875	0.631631659252721	-0.868299179286505	"ARL11"	"ADP-ribosylation factor like GTPase 11"	"Arl11"
"1389914_at"	0.213995430020181	0.000247719717056063	-5.22590480006939	0.518808114040116	-0.679700344273379	"CASZ1"	"castor zinc finger 1"	"Casz1"
"1369290_at"	0.148914291935863	8.74444132600619e-05	5.90098182810724	1.3022907825592	0.772217994780264	"CCR5"	"chemokine (C-C motif) receptor 5"	"Ccr5"
"1367679_at"	0.219854722073461	0.000302069864701945	-5.10184490099511	0.3656735412904	-1.1959294009804	"CD74"	"CD74 molecule"	"Cd74"
"1392996_at"	0.151097449395337	0.000111747687581361	-5.73818524627808	1.12100040177741	-0.378929585064702	"CPEB1"	"cytoplasmic polyadenylation element binding protein 1"	"Cpeb1"
"1375269_at"	0.194284348921985	0.000205060338857198	-5.34539196955224	0.66360293514014	-0.497602818607678	"DERA"	"deoxyribose-phosphate aldolase"	"Dera"
"1391586_at"	0.194284348921985	0.000211244795539224	-5.32652143791184	0.640911494724064	-0.940070198089236	"FAM19A3"	"family with sequence similarity 19 member A3, C-C motif chemokine like"	"Fam19a3"
"1378557_at"	0.151097449395337	0.000108868871931779	-5.755394295838	1.14039206794142	-0.915501626772727	"FAM19A4"	"family with sequence similarity 19 member A4, C-C motif chemokine like"	"Fam19a4"
"1391780_at"	0.127666979974566	5.51738518887084e-05	-6.21352320020934	1.63699811907045	-1.589019735349	"FAM46B"	"family with sequence similarity 46, member B"	"Fam46b"
"1387843_at"	0.148914291935863	9.78499559080993e-05	5.8260412335703	1.21943416998691	0.919846309512502	"FST"	"follistatin"	"Fst"
"1385072_at"	0.103885883460468	4.00858741929198e-05	-6.43584445023043	1.8646382562024	-0.346384273127011	"GALM"	"galactose mutarotase"	"Galm"
"1395828_at"	0.194284348921985	0.000200775693616518	5.35882189507567	0.679711975777377	1.5626156811356	"KIF23"	"kinesin family member 23"	"Kif23"
"1377689_at"	0.178161637618641	0.000146727963070886	5.56022599928566	0.91729231060961	0.645076902739688	"KNTC1"	"kinetochore associated 1"	"Kntc1"
"1389210_at"	0.103383733944808	3.65677698123053e-05	-6.50063799641379	1.92938209716726	-0.702868746714572	"LCP1"	"lymphocyte cytosolic protein 1"	"Lcp1"
"1392451_at"	0.148914291935863	9.68066986276352e-05	-5.83316346450011	1.22735244568504	-1.74320652556193	"C1orf127"	"hypothetical protein LOC691354"	"LOC691354"
"1368948_at"	0.0266554565602624	3.68439940378141e-06	-8.26093529151935	3.43641417091296	-0.894973160199248	"MSN"	"moesin"	"Msn"
"1398892_at"	0.0439166026273929	8.4729288968892e-06	-7.58877349348502	2.91503521828757	-0.628114654102387	"NPC2"	"NPC intracellular cholesterol transporter 2"	"Npc2"
"1377453_at"	0.0984317403930544	2.53208760135193e-05	-6.76390870522914	2.18518643531839	-1.18408885085018	"C11orf63"	"similar to hypothetical protein FLJ23554"	"RGD1309108"
"1375211_at"	0.219854722073461	0.000303988972287174	-5.09790623238151	0.360765165806945	-0.48661861468166	"RNASET2"	"ribonuclease T2"	"Rnaset2"
"1370883_at"	0.219854722073461	0.000284398372030268	-5.13940384444494	0.412335463652024	-1.31478527664874	"HLA-DRA"	"RT1 class II, locus Da"	"RT1-Da"
"1370383_s_at"	0.135191524627621	6.52070121037434e-05	-6.09907191124192	1.51644432836612	-1.44520570310617	"HLA-DRB5"	"RT1 class II, locus Db1"	"RT1-Db1"
"1387205_at"	0.161651516460948	0.000124751162258039	-5.66590340499633	1.03896030718753	-0.38804507513737	"HLA-G"	"RT1 class Ib, locus M3, gene 1"	"RT1-M3-1"
"1387125_at"	0.194284348921985	0.00019554028374613	-5.37564938494353	0.699849206294451	-1.59978726844992	"S100A9"	"S100 calcium binding protein A9"	"S100a9"
"1372814_at"	0.0529975293557138	1.19290879285506e-05	-7.32416243864933	2.69226221339389	-0.567792459948215	"SFT2D2"	"SFT2 domain containing 2"	"Sft2d2"
"1387189_at"	0.0266554565602624	4.28558097692247e-06	8.13587058523098	3.34402182277842	1.30341170444605	"SLC22A3"	"solute carrier family 22 member 3"	"Slc22a3"
"1387103_s_at"	0.148914291935863	0.000100556292184736	5.80793473244219	1.19926248258455	0.353482070473815	"SLC25A14"	"solute carrier family 25 member 14"	"Slc25a14"
"1387542_at"	0.178161637618641	0.000148950209913009	-5.55048760339478	0.905976999663494	-0.930236002226831	"SLC9A3"	"solute carrier family 9 member A3"	"Slc9a3"
"1390061_at"	0.238545956815971	0.000337503524225947	-5.03305814288302	0.279539445373444	-2.08160922707349	"TNNT2"	"troponin T2, cardiac type"	"Tnnt2"
"1382819_at"	0.103383733944808	3.43950942967851e-05	-6.54406482706893	1.97237668071631	-2.2041694022382	"TYRP1"	"tyrosinase-related protein 1"	"Tyrp1"
"1389232_at"	0.219854722073461	0.000279838038745123	-5.14949654215041	0.424829795552632	-0.492473228857355	"WDR5B"	"WD repeat domain 5B"	"Wdr5b"
