"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"9606"	"Gene.title"	"Gene.symbol"
"1368126_at"	5.16638164544193e-05	7.90651746842286e-08	11.0732431623762	8.50739034316986	3.27856634179966	"AACS"	"acetoacetyl-CoA synthetase"	"Aacs"
"1387223_at"	0.000513779815374715	6.6024576804664e-06	7.38869237954007	4.20253422557987	1.99456224451252	"AADAT"	"aminoadipate aminotransferase"	"Aadat"
"1384381_at"	2.31875059924571e-05	8.94723534227741e-09	-13.3618550603333	10.5173560840974	-2.11113706867222	"ABCA1"	"ATP binding cassette subfamily A member 1"	"Abca1"
"1374171_at"	0.000316217458107818	2.75555262700469e-06	-8.03130699165447	5.0695618582766	-0.930125255180229	"ABCC9"	"ATP binding cassette subfamily C member 9"	"Abcc9"
"1374475_at"	0.00168683333547902	4.4783475719456e-05	6.09745260717722	2.28584930485392	0.995734054466894	"ABHD1"	"abhydrolase domain containing 1"	"Abhd1"
"1379854_at"	0.000793924901612686	1.38111634384534e-05	6.87309956362971	3.46592588538685	1.16050378074848	"ABHD5"	"abhydrolase domain containing 5"	"Abhd5"
"1383912_at"	0.000521039864618567	6.82340227417828e-06	-7.36518486499785	4.16975850596361	-0.851151318144066	"ABRACL"	"ABRA C-terminal like"	"Abracl"
"1387538_at"	4.56558200927407e-05	4.49391655912063e-08	11.6318961736443	9.03732430012002	4.4662676750314	"ACACA"	"acetyl-CoA carboxylase alpha"	"Acaca"
"1372462_at"	0.00164249559798504	4.30442751328919e-05	6.12271699025082	2.32567432460036	1.57013474319312	"ACAT2"	"acetyl-CoA acetyltransferase 2"	"Acat2"
"1367589_at"	0.000760197564784941	1.28088853000839e-05	6.92465555584403	3.54127290995185	0.729172823027637	"ACO2"	"aconitase 2"	"Aco2"
"1372162_at"	0.000862627861281732	1.56165627802056e-05	-6.78953349343632	3.34298837234289	-1.03197144430898	"ACSS1"	"acyl-CoA synthetase short-chain family member 1"	"Acss1"
"1375944_at"	0.00225065481883164	6.92587112647314e-05	5.82300334332635	1.84718004127127	1.21922521788628	"ACSS2"	"acyl-CoA synthetase short-chain family member 2"	"Acss2"
"1369928_at"	0.00108374581881289	2.20240958709201e-05	6.55894502053684	2.9985334104465	7.67574720943696	"ACTA1"	"actin, alpha 1, skeletal muscle"	"Acta1"
"1389189_at"	0.000579577497111849	8.3118931062698e-06	-7.22528194715699	3.97311335944782	-1.2615400006932	"ACTN1"	"actinin, alpha 1"	"Actn1"
"1372170_at"	0.000238151798224197	1.53922992517649e-06	8.48051300940988	5.64365004416727	1.6601141464098	"ACY1"	"aminoacylase 1"	"Acy1"
"1391139_at"	0.00192418838110712	5.50050956881003e-05	-5.96722058218487	2.07907116042345	-0.641560492222675	"ADAMTSL1"	"ADAMTS-like 1"	"Adamtsl1"
"1397519_at"	5.30405315915507e-05	8.5276908568685e-08	11.0001825128143	8.43602791890477	1.22647259919107	"ADIPOR2"	"adiponectin receptor 2"	"Adipor2"
"1369630_at"	0.000346325469501521	3.19695840110223e-06	7.9194446731722	4.92258075937993	0.848732389355272	"ADK"	"adenosine kinase"	"Adk"
"1370584_a_at"	0.00107440867629106	2.16815251039591e-05	6.56935638348888	3.01425225417465	1.21154588283119	"ADORA1"	"adenosine A1 receptor"	"Adora1"
"1368780_at"	0.000494964379162514	6.1699797069958e-06	7.43722933471368	4.26996689362792	1.84065172457249	"ADRB3"	"adrenoceptor beta 3"	"Adrb3"
"1367868_at"	0.000390052334108645	4.01352927472801e-06	7.75028536284672	4.69719221410692	0.800698127189632	"ADRM1"	"adhesion regulating molecule 1"	"Adrm1"
"1392763_at"	0.0014129689583789	3.30878970336897e-05	6.29195573544156	2.59003003510859	0.930978594709082	"AGPAT1"	"1-acylglycerol-3-phosphate O-acyltransferase 1"	"Agpat1"
"1374570_at"	6.13547263077254e-05	1.16002269515722e-07	10.7070184092584	8.14471134242732	1.52797348055219	"AGPAT2"	"1-acylglycerol-3-phosphate O-acyltransferase 2"	"Agpat2"
"1372276_at"	6.13547263077254e-05	1.28237474195381e-07	10.6128789771892	8.04944698137277	1.3103279644517	"AGPAT3"	"1-acylglycerol-3-phosphate O-acyltransferase 3"	"Agpat3"
"1374346_at"	0.000301268043853382	2.56715751699881e-06	8.08501081567419	5.13954837027026	1.1573074046429	"AIFM2"	"apoptosis inducing factor, mitochondria associated 2"	"Aifm2"
"1386954_at"	0.00139940042612848	3.25337312483004e-05	6.30290926756111	2.60699473916931	1.57333910947051	"AK2"	"adenylate kinase 2"	"Ak2"
"1370911_at"	0.00047575128882042	5.63831514431524e-06	-7.5021146994549	4.35960783480803	-0.748850453305157	"AKAP8"	"A-kinase anchoring protein 8"	"Akap8"
"1367843_at"	0.000687565193000388	1.07670423161899e-05	7.0444022323222	3.71481615708231	1.31794449806266	"AKR7A2"	"aldo-keto reductase family 7, member A2"	"Akr7a2"
"1387867_at"	0.0015099268542096	3.70453773356675e-05	6.21896190725571	2.47652800686656	0.642725379889924	"ALDH9A1"	"aldehyde dehydrogenase 9 family, member A1"	"Aldh9a1"
